Ticker,Name,Asset_Class,Geography,Sector,Expense_Ratio,ESG,VTI,VOO,QQQ,VGT,VHT,VFH,VPU,VDC,VCR,VWO,VEA,ESGV,VSGX,BND,BNDX,BSV,BLV,VCSH,VCLT,VTIP
VTI,Vanguard Total Stock Market ETF,Equity,US,Broad Market,0.03,False,0.0053171415301123265,0.021571561970126333,-0.009309638536827402,0.007849768513213338,0.010845527153193351,0.0059332691252172234,-0.00681822320602805,-0.002110624881299486,-0.002295148413106108,-0.007666877296122744,0.0021021141890851204,-0.0014177416311578208,-0.018347416996954205,0.0060509935459830185,-0.00895841123603013,-0.0003009613808156162,-0.005555768682764347,-0.0036954636968835027,0.0012834155948214312,-0.010251514494265783
VOO,Vanguard S&P 500 ETF,Equity,US,Large Cap,0.03,False,-0.0010326430117118465,0.010674652605511469,-0.00685688075647044,0.0032225418554231084,-0.00500235211560568,0.0011100539141241151,-0.0183153661707306,-0.008082465953161918,-0.019688623644067534,-0.0009043627696263344,0.0302025900260341,-0.015136182988637467,-0.003535207751830093,0.0008714824862389644,-0.005056549558196723,-0.0008300886395590922,-0.013995393297427135,0.0012161797729301552,-0.001316750337385671,-0.0006512912339795276
QQQ,Invesco QQQ Trust,Equity,US,Technology,0.2,False,0.006826885381006924,-0.014843699659540134,-0.008435908863583036,-0.012425366702718202,0.013523940656343257,0.005737559924463692,-0.0004768068584269925,0.02205942717497814,0.006704180302092263,0.005962823736613382,0.004024816654743044,-0.004561537471421047,0.002254238899250577,0.000597989311880182,0.007687158415898131,-0.0029777330840117288,-0.00384690410541377,-0.002088166246688076,-0.0008943312586781287,-0.001128022801430526
VGT,Vanguard Information Technology ETF,Equity,US,Technology,0.1,False,0.015580298564080254,-0.004492340728662514,-0.012509861545197239,0.010954648191134871,0.0023259960469239967,-0.008856735930793664,-0.0008674750838328354,-0.001408858124323366,-0.012042583948534726,-0.007395657025816837,-0.002785296861723979,-0.0024987549336967082,0.004842187212850342,0.002970288855579536,0.009488511717688664,-0.00336670126030992,0.004983515931928292,0.0011284429020936948,0.0040312148752025476,-0.0017993911933418573
VHT,Vanguard Health Care ETF,Equity,US,Healthcare,0.1,False,-0.0019915337472333596,0.013019111491866226,0.0011778244191724047,-0.008184567393566608,0.021102608726252654,0.00204360824036078,0.01548449743242131,0.0015820480678448569,0.0009493263026632826,-0.01041132926658579,0.009568015019772521,-0.002211797524953801,-0.004748066931908826,-0.0041085153512812915,-0.00031715612145141964,0.0015431095906397224,0.0027847325787418546,0.0077456550670227525,-0.00500096859907949,-0.00037320417753196225
VFH,Vanguard Financials ETF,Equity,US,Financial,0.1,False,-0.0019913695694918055,-0.006726694656187808,-0.012014251746165565,0.0022801472196804216,-0.006541878180895679,-0.013787144969049803,0.006658116845547775,0.005864853760404676,0.003123769379581917,0.0009464386798083936,0.005176878872092126,-0.002064974458707788,0.0006944101170584135,0.0003501573958204109,-0.005995263512633213,-0.0015016557951254633,-0.0009075663147606194,0.003228031163156565,0.009925975371384666,0.0015213413582281829
VPU,Vanguard Utilities ETF,Equity,US,Utilities,0.1,False,0.016142128155073914,0.004788194281462284,0.004506852386697582,0.03885126807403192,0.017709638031652493,-0.0007622606134870032,-0.00989186824329205,0.0007860244637245373,0.01395658595838651,-0.016995935021804843,0.004550944904518413,-0.0002676419986012893,-0.024533273534129894,-0.010561917723045901,0.010679217509045796,0.0010990749646084342,8.849858140973475e-05,0.00274304186616721,-0.008905430346472482,-0.000550584756269033
VDC,Vanguard Consumer Staples ETF,Equity,US,Consumer Staples,0.1,False,0.008024347291529088,0.008096340534293369,-0.0003035716417370543,-0.000990898495869748,0.002329107834626478,-0.008689076414647898,0.018890925663341884,0.01730051040430753,-0.012738203991191122,-0.016973202062162965,0.00641850593215671,0.005144415180860638,-0.006232484123338484,0.004582278227514678,0.008172211958745984,-0.0025057460583726675,-0.003244427712877028,-0.0019515465997732117,-0.0027883384162742855,-0.006120030839736819
VCR,Vanguard Consumer Discretionary ETF,Equity,US,Consumer Discretionary,0.1,False,-0.004344743859349522,-0.00891930471578083,-0.003134220702996146,0.017689099894285135,-0.006164180036144484,-0.0070052994258976665,0.012560336955253529,-0.00587649361734452,-0.029845121558208253,0.011269972527304052,0.020915435648295413,0.009095170741325225,0.004885087125544673,-0.007607466112209298,0.0035947349388111647,0.000693188228313247,0.001223794412008921,-0.007220283324621677,0.0020510594497087048,0.0026309239578096947
VWO,Vanguard FTSE Emerging Markets ETF,Equity,Emerging Markets,Broad Market,0.1,False,0.005775600435859647,-0.0002452535606180008,-0.013163454930623967,-0.01009764637688831,-0.004488858340543216,0.012710931752104374,0.006170977034686158,0.0022960745523724273,0.0021884954475369484,-0.017980704562538495,-0.010958884353259157,-0.006147652268482672,-0.009472940342546796,0.007717099142144995,-0.0038620117446871,0.004059834111948191,0.004029391397403074,-0.0008423410527020396,0.0031215708321765496,-0.009546858776612117
VEA,Vanguard FTSE Developed Markets ETF,Equity,"Europe,Asia",Broad Market,0.05,False,-0.004284176928124623,-0.032062673400690724,-0.00820156995852499,-7.482735745442551e-05,-0.002853473081943202,0.01126310120594269,-0.0019148409884983193,-0.007074705856980483,0.018355111815108537,0.01106100001454739,0.005086320768114544,-0.011682008553891446,0.0009398422158959738,-0.0014506004698322515,-4.5146704190183654e-05,0.00190849740117835,-0.007879433937052363,0.006233040774319576,-0.00030237860285852575,-0.010051787286421001
ESGV,Vanguard ESG U.S. Stock ETF,Equity,US,Broad Market,0.09,True,-0.004307297535702569,-0.0098938764133429,0.01178086838738634,0.027012009534532647,0.004591659464019164,0.00644138120907177,-0.009244392367234799,-0.01285022511220706,0.012739463529394373,0.007801460685663219,-0.008913811299815385,-0.01007044412243103,0.00481872500802698,-0.0008583349096558845,-0.0006018004052241538,-0.0010872414546494412,0.0016982384391867407,-0.007435839282948238,-8.695351500771203e-05,0.0038959024735078394
VSGX,Vanguard ESG International Stock ETF,Equity,International,Broad Market,0.12,True,0.002769622715660341,-0.002175681513931603,0.007963757814365712,-0.00895450586681651,0.005578354880354996,-0.01057312764672579,-0.00337206776071053,-0.0057676909090528545,0.0024465941527462578,-0.027212907660649547,0.005905126463422483,-0.004522029211949272,-0.00307549200857765,-0.002938669530422528,0.001854256523077889,0.0009215969110677821,0.004862174354773336,-0.005075446840883476,0.002252750426638083,0.002735101360676784
BND,Vanguard Total Bond Market ETF,Bond,US,Broad Market,0.03,False,-0.01878280244657798,-0.012127831819648495,-0.014213328671978264,0.027636728369953928,-0.005387000039385791,-0.0028140844969480193,0.01123748619704186,-2.0367970484120234e-05,-0.004566361856320474,-0.010441034437370482,-0.008836865114860945,-0.003169213178165091,0.002054637709965709,-0.0012401943696103818,0.00745500719065668,-0.0005719955235906391,-0.0018755014448168478,0.0008313386811703409,-0.0009553473872884016,-8.697682537018005e-05
BNDX,Vanguard Total International Bond ETF,Bond,International,Broad Market,0.08,False,-0.01689917832513033,0.016674113039316353,0.001939984581438388,0.011066279031832132,0.00010645407739017158,0.012480976999791834,0.01919586305934609,-0.0039430222451726,0.008421225966373104,0.01950575044875796,-0.0038236681360508435,-0.007349960661974573,-0.009277325652846124,0.007292656725740183,0.004597085205687016,0.00017364055408418443,0.0037035030606029184,-0.0047232739242363125,0.007165906289674529,-0.00677724252377536
